Timestamp_x,AudioLevel,Minute,Timestamp_y,Steps,HeartRate
2021-07-12 14:05:10+03:00,81.2081,2021-07-12 14:05:00+03:00,2021-07-12 14:05:10+03:00,49.0,98
2021-07-12 14:05:29+03:00,83.8325,2021-07-12 14:05:00+03:00,2021-07-12 14:05:10+03:00,49.0,88
2021-07-15 13:22:10+03:00,77.5077,2021-07-15 13:22:00+03:00,2021-07-15 13:22:57+03:00,80.0,74
2021-07-15 13:22:14+03:00,80.334,2021-07-15 13:22:00+03:00,2021-07-15 13:22:57+03:00,80.0,67
2021-07-15 13:22:29+03:00,79.2509,2021-07-15 13:22:00+03:00,2021-07-15 13:22:57+03:00,80.0,80
2021-07-15 13:44:10+03:00,77.626,2021-07-15 13:44:00+03:00,2021-07-15 13:44:16+03:00,47.0,98
2021-07-15 13:44:16+03:00,77.1833,2021-07-15 13:44:00+03:00,2021-07-15 13:44:16+03:00,47.0,78
2021-07-15 13:44:31+03:00,72.5835,2021-07-15 13:44:00+03:00,2021-07-15 13:44:16+03:00,47.0,82
2021-07-15 14:09:24+03:00,74.6527,2021-07-15 14:09:00+03:00,2021-07-15 14:09:12+03:00,249.0,70
2021-08-15 20:52:36+03:00,1.18772,2021-08-15 20:52:00+03:00,2021-08-15 20:52:02+03:00,492.0,70
2021-09-07 17:02:47+03:00,0.0749247,2021-09-07 17:02:00+03:00,2021-09-07 17:02:15+03:00,306.0,83
2021-09-19 18:39:26+03:00,0.000992146,2021-09-19 18:39:00+03:00,2021-09-19 18:39:55+03:00,505.0,95
2021-10-02 18:47:46+03:00,89.252,2021-10-02 18:47:00+03:00,2021-10-02 18:47:56+03:00,15.0,99
2021-10-02 18:47:58+03:00,87.8364,2021-10-02 18:47:00+03:00,2021-10-02 18:47:56+03:00,15.0,83
2021-10-02 19:18:38+03:00,71.4492,2021-10-02 19:18:00+03:00,2021-10-02 19:18:42+03:00,458.0,62
2021-10-12 19:27:38+03:00,2.17622e-05,2021-10-12 19:27:00+03:00,2021-10-12 19:27:14+03:00,144.0,81
2021-10-13 15:11:30+03:00,75.2884,2021-10-13 15:11:00+03:00,2021-10-13 15:11:57+03:00,16.0,61
2021-10-13 15:11:48+03:00,71.917,2021-10-13 15:11:00+03:00,2021-10-13 15:11:57+03:00,16.0,83
2021-10-13 15:11:56+03:00,71.9861,2021-10-13 15:11:00+03:00,2021-10-13 15:11:57+03:00,16.0,89
2021-10-14 11:55:06+03:00,2.17267e-05,2021-10-14 11:55:00+03:00,2021-10-14 11:55:02+03:00,15.0,97
2021-10-30 09:47:04+03:00,60.6172,2021-10-30 09:47:00+03:00,2021-10-30 09:47:04+03:00,62.0,61
